kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:26.173+00:00][INFO ][plugins.security.authentication] Performing login attempt with "basic" provider.
kibana  | [2026-01-09T18:13:26.336+00:00][ERROR][plugins.security.authentication] Login attempt with "basic" provider failed: {"error":{"root_cause":[{"type":"security_exception","reason":"unable to authenticate user [elastic] for REST request [/_security/_authenticate]","header":{"WWW-Authenticate":["Basic realm=\"security\", charset=\"UTF-8\"","ApiKey"]}}],"type":"security_exception","reason":"unable to authenticate user [elastic] for REST request [/_security/_authenticate]","header":{"WWW-Authenticate":["Basic realm=\"security\", charset=\"UTF-8\"","ApiKey"]}},"status":401}
kibana  | [2026-01-09T18:13:46.327+00:00][INFO ][plugins.fleet] Beginning fleet setup
kibana  | [2026-01-09T18:13:46.328+00:00][INFO ][plugins.fleet] Cleaning old indices
kibana  | [2026-01-09T18:13:46.399+00:00][WARN ][plugins.fleet] Fleet setup attempt 7 failed, will retry after backoff FleetEncryptedSavedObjectEncryptionKeyRequired: Agent binary source needs encrypted saved object api key to be set
kibana  |     at DownloadSourceService.create (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:88:13)
kibana  |     at DownloadSourceService.ensureDefault (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/download_source.js:235:25)
kibana  |     at processTicksAndRejections (node:internal/process/task_queues:105:5)
kibana  |     at createSetupSideEffects (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup.js:94:33)
kibana  |     at awaitIfPending (/usr/share/kibana/node_modules/@kbn/fleet-plugin/server/services/setup_utils.js:35:20)
kibana  |     at withLock (/usr/share/kibana/node_modules/@kbn/lock-manager/src/lock_manager_client.js:272:12)
kibana  |     at RetryOperation._fn (/usr/share/kibana/node_modules/p-retry/index.js:50:12)
kibana  | [2026-01-09T18:13:48.040+00:00][INFO ][plugins.security.authentication] Performing login attempt with "basic" provider.
kibana  | [2026-01-09T18:13:49.470+00:00][INFO ][plugins.security.authentication] Login attempt with "basic" provider succeeded (requires redirect: true).
kibana  | [2026-01-09T18:13:55.014+00:00][ERROR][plugins.streams] Error: Unable to create alerts client because the Encrypted Saved Objects plugin is missing encryption key. Please set xpack.encryptedSavedObjects.encryptionKey in the kibana.yml or use the bin/kibana-encryption-keys command.
